['2017-08-29 16:30 Tue', '348.25', '348.75', '350.75', '351.00', '347.00', '417.25', '347.00', '203700', '790370', 'CZ7']
['2017-08-30 16:30 Wed', '345.00', '345.50', '348.25', '349.25', '345.00', '417.25', '345.00', '229700', '781645', 'CZ7']
['2017-08-31 16:30 Thu', '357.50', '357.75', '345.00', '358.50', '344.25', '417.25', '344.25', '265100', '781731', 'CZ7']
['2017-09-01 16:30 Fri', '354.75', '355.25', '357.00', '360.75', '353.25', '417.25', '344.25', '174400', '781766', 'CZ7']
['2017-09-04 16:30 Mon', '354.75', '355.25', '357.00', '360.75', '353.25', '417.25', '344.25', '174400', '795599', 'CZ7']
['2017-09-05 16:30 Tue', '357.50', '358.50', '354.75', '360.50', '354.75', '417.25', '344.25', '134500', '794649', 'CZ7']
['2017-09-06 16:30 Wed', '360.75', '361.00', '357.50', '362.00', '356.00', '417.25', '344.25', '120200', '799417', 'CZ7']
['2017-09-07 16:30 Thu', '355.00', '355.25', '360.00', '360.25', '354.75', '417.25', '344.25', '116300', '805431', 'CZ7']
['2017-09-08 16:30 Fri', '356.50', '356.75', '355.25', '358.75', '355.00', '417.25', '344.25', '109500', '807511', 'CZ7']
['2017-09-15 16:52 Fri', '353.50', '', '353.50', '355.50', '352.50', '417.25', '344.25', '49600', '803542', 'CZ7']
['2017-09-15 17:09 Fri', '354.50', '354.25', '353.50', '355.50', '352.50', '417.25', '344.25', '53200', '803542', 'CZ7']
['2017-09-15 17:29 Fri', '354.75', '354.25', '353.50', '355.50', '352.50', '417.25', '344.25', '57500', '803542', 'CZ7']
