['2017-09-22 19:22 Fri', '12605.00', '12586.50', '12550.50', '', '', '', '', '56700', '113503', 'FDXZ7']
['2017-09-22 19:27 Fri', '12605.00', '12586.50', '12550.50', '', '', '', '', '56700', '113503', 'FDXZ7']
['2017-09-22 19:28 Fri', '12605.00', '12586.50', '12550.50', '', '', '', '', '56700', '113503', 'FDXZ7']
['2017-09-22 19:30 Fri', '12605.00', '12586.50', '12550.50', '', '', '', '', '56700', '113503', 'FDXZ7']
['2017-09-22 19:31 Fri', '12605.00', '12586.50', '12550.50', '', '', '', '', '56700', '113503', 'FDXZ7']
['2017-09-22 19:36 Fri', '12605.00', '12586.50', '12550.50', '', '', '', '', '56700', '113503', 'FDXZ7']
['2017-09-22 19:40 Fri', '12605.00', '12586.50', '12550.50', '12637.00', '12543.50', '12935.50', '11865.00', '56700', '113503', 'FDXZ7']
['2017-09-22 19:42 Fri', '12605.00', '12586.50', '12550.50', '', '', '', '', '56700', '113503', 'FDXZ7']
['2017-09-22 19:48 Fri', '12605.00', '12586.50', '12550.50', '12637.00', '12543.50', '12935.50', '11865.00', '56700', '113503', 'FDXZ7']
['2017-09-22 19:50 Fri', '12605.00', '12586.50', '12550.50', '', '', '', '', '56700', '113503', 'FDXZ7']
['2017-09-22 19:52 Fri', '12605.00', '12586.50', '12550.50', '', '', '', '', '56700', '113503', 'FDXZ7']
['2017-09-22 19:54 Fri', '12605.00', '12586.50', '12550.50', '', '', '', '', '56700', '113503', 'FDXZ7']
['2017-09-22 19:56 Fri', '12605.00', '12586.50', '12550.50', '12637.00', '12543.50', '12935.50', '11865.00', '56700', '113503', 'FDXZ7']
