['2017-09-22 19:22 Fri', '12.44', '14.58', '12.35', '', '', '', '', '88200', '362978', 'VX7V']
['2017-09-22 19:27 Fri', '12.44', '14.58', '12.35', '', '', '', '', '88200', '362978', 'VX7V']
['2017-09-22 19:28 Fri', '12.44', '14.58', '12.35', '', '', '', '', '88200', '362978', 'VX7V']
['2017-09-22 19:30 Fri', '12.44', '14.58', '12.35', '', '', '', '', '88200', '362978', 'VX7V']
['2017-09-22 19:31 Fri', '12.44', '14.58', '12.35', '', '', '', '', '88200', '362978', 'VX7V']
['2017-09-22 19:36 Fri', '12.44', '14.58', '12.35', '', '', '', '', '88200', '362978', 'VX7V']
['2017-09-22 19:40 Fri', '12.44', '14.58', '12.35', '12.85', '12.30', '19.70', '12.25', '88200', '362978', 'VX7V']
['2017-09-22 19:42 Fri', '12.44', '14.58', '12.35', '', '', '', '', '88200', '362978', 'VX7V']
['2017-09-22 19:48 Fri', '12.44', '14.58', '12.35', '12.85', '12.30', '19.70', '12.25', '88200', '362978', 'VX7V']
['2017-09-22 19:50 Fri', '12.44', '14.58', '12.35', '', '', '', '', '88200', '362978', 'VX7V']
['2017-09-22 19:52 Fri', '12.44', '14.58', '12.35', '', '', '', '', '88200', '362978', 'VX7V']
['2017-09-22 19:54 Fri', '12.44', '14.58', '12.35', '', '', '', '', '88200', '362978', 'VX7V']
['2017-09-22 19:56 Fri', '12.44', '14.58', '12.35', '12.85', '12.30', '19.70', '12.25', '88200', '362978', 'VX7V']
