['2017-08-29 09:20 Tue', '935.00', '941.25', '940.25', '943.75', '934.50', '1047.00', '907.00', '19300', '382911', 'SX7']
['2017-08-30 09:20 Wed', '937.25', '937.25', '936.50', '941.00', '935.50', '1047.00', '907.00', '14500', '381653', 'SX7']
['2017-08-31 09:20 Thu', '933.25', '933.25', '932.50', '937.00', '932.25', '1047.00', '907.00', '12500', '383275', 'SX7']
['2017-09-01 09:20 Fri', '950.75', '945.25', '945.25', '951.50', '945.00', '1047.00', '907.00', '14200', '383919', 'SX7']
['2017-09-04 09:20 Mon', '950.25', '949.50', '945.25', '952.00', '943.00', '1047.00', '907.00', '85500', '385836', 'SX7']
['2017-09-05 09:20 Tue', '959.25', '949.50', '953.75', '962.25', '952.25', '1047.00', '907.00', '29800', '385827', 'SX7']
['2017-09-06 09:20 Wed', '968.00', '968.50', '967.00', '969.25', '964.75', '1047.00', '907.00', '14700', '386273', 'SX7']
['2017-09-07 09:20 Thu', '974.75', '971.00', '971.00', '977.50', '969.25', '1047.00', '907.00', '15200', '380151', 'SX7']
['2017-09-08 09:20 Fri', '970.50', '968.75', '968.00', '976.75', '967.50', '1047.00', '907.00', '16800', '375330', 'SX7']
['2017-09-11 09:20 Mon', '963.50', '961.10', '964.00', '968.50', '961.75', '1047.00', '907.00', '15100', '370689', 'SX7']
['2017-09-12 09:20 Tue', '959.25', '960.00', '960.75', '961.25', '957.00', '1047.00', '907.00', '11400', '370549', 'SX7']
['2017-09-13 09:20 Wed', '954.75', '950.50', '950.00', '959.25', '946.75', '1047.00', '907.00', '27600', '374853', 'SX7']
['2017-09-14 09:20 Thu', '966.00', '960.50', '961.00', '967.50', '960.25', '1047.00', '907.00', '13000', '374539', 'SX7']
['2017-09-15 09:20 Fri', '973.00', '976.00', '975.50', '977.50', '971.00', '1047.00', '907.00', '14300', '368314', 'SX7']
['2017-09-19 09:20 Tue', '967.50', '967.75', '968.50', '971.75', '965.75', '1047.00', '907.00', '11700', '359392', 'SX7']
['2017-09-20 09:20 Wed', '969.00', '965.50', '966.00', '970.00', '964.75', '1047.00', '907.00', '10700', '354351', 'SX7']
['2017-09-21 09:20 Thu', '965.25', '970.00', '969.50', '972.25', '963.00', '1047.00', '907.00', '19700', '359913', 'SX7']
['2017-09-22 09:20 Fri', '978.25', '970.75', '970.00', '979.50', '969.00', '1047.00', '907.00', '26900', '355925', 'SX7']
